room_number,latitude,longitude
2678,42.2935981689153,-83.71468719121029
2674,42.29359729788536,-83.71463926945806
2672,42.29359804908088,-83.71458619782308
2666,42.29359916935147,-83.71453670170624
2664,42.29359842562423,-83.71448485296806
2658,42.29359667114885,-83.71443425583843
2656,42.293597379795,-83.7143824932038
2650,42.29359709891708,-83.71433132762394
2644,42.29359603171426,-83.71422962236537
2636,42.29358846650342,-83.71410392480591
2632,42.29351771500614,-83.71411678111325
2635,42.29353817299551,-83.71420389742143
2651,42.29351764922238,-83.71428333873641
2661B,42.29349751808911,-83.71436516890152
2661A,42.29353667671311,-83.71436421918833
2661,42.29351770562268,-83.71442823169762
2661D,42.29353771794007,-83.71449049668105
2661C,42.2934972477562,-83.71449085006149
2667,42.29351717629519,-83.71453212499368
2611B,42.29354244434604,-83.71457732461896
2611C,42.29351576645096,-83.71457737343647
2611A,42.29348617953742,-83.71457873902949
2675,42.29353766996817,-83.71465339890432
2611G,42.29348722580472,-83.71465480263318
2611,42.29343374658654,-83.71453162197528
2611F,42.29346126050536,-83.71439780132134
2611E,42.29343361316112,-83.7143985077293
2611D,42.29340645021053,-83.71439855751825
2631,42.29350462471193,-83.71420234735011
2629,42.2934798751622,-83.71419058951457
2627,42.29345368231444,-83.71419063760894
2627A,42.29345903699777,-83.71420964415039
2619B,42.29344898254075,-83.71434080992235
2621,42.29343386692501,-83.71426214927794
2619A,42.29343456618909,-83.71430008318967
2619,42.29341066864172,-83.71434612607553
2570,42.29330677028597,-83.71488870395115
2597,42.29323396888051,-83.71506856783044
2575,42.29323553857621,-83.71484731520221
2575A,42.29319285796071,-83.71484744431295
2581,42.29319166666457,-83.71491445906643
2591,42.29321190925621,-83.71500305056547
2591A,42.29314690283945,-83.71500474238276
2571,42.2931508169445,-83.71481660959243
2565,42.29322600164068,-83.71475543380609
2000,42.2937492505248,-83.71292415277941
2004,42.29372183603448,-83.71292535804386
2008,42.29369359271198,-83.71292399657692
2012,42.29366666493929,-83.7129246090168
2016,42.29364022387269,-83.71292462863536
2020,42.29361242492778,-83.71292455264924
2024,42.29358362262301,-83.71292566021202
2028,42.29355720564935,-83.71292505442774
2032,42.29352986345193,-83.71292438351368
2036,42.29350342237796,-83.71292440313353
2040,42.29347374304942,-83.71292419473973
2044,42.29344681527802,-83.71292480718158
2048,42.29342086091346,-83.71292423398349
2052,42.29339210678672,-83.71292409075775
2056,42.29336564160477,-83.71292473577708
2060,42.29333769236536,-83.71292464918265
2153,42.29337666540741,-83.71305080222795
2147,42.29345560073614,-83.71305302445838
2105C,42.29373328616769,-83.71300816742024
2105B,42.29374850680479,-83.71306880310505
2105A,42.29374846785685,-83.71311296841867
2105,42.29370671281509,-83.71308079511203
2105F,42.29366225178984,-83.71309677640762
2105D,42.29365634977349,-83.71299347367754
2105E,42.29365874991917,-83.71303737326951
2104,42.29374240715939,-83.71322715153542
2112,42.29366757859508,-83.7131855843373
2116,42.29363977530112,-83.71318532167668
2119,42.2936143120545,-83.71310576663393
2120,42.29361330009817,-83.71318678999764
2029,42.29358981479265,-83.71301601215865
2124,42.29358438771403,-83.71318614773517
2128,42.29356019252087,-83.71318552456177
2132,42.29352939044148,-83.71318615008404
2136,42.29350469543401,-83.71318567495665
2035,42.29351887165721,-83.71302427793565
2135,42.29350908237071,-83.71310931697174
2035A,42.29349965672348,-83.71308024403518
2139,42.29349404062415,-83.71311023140166
2140,42.29347489286875,-83.71318600439535
2144,42.29344808917948,-83.7131854456884
2148,42.29341989559294,-83.71318600673833
2152,42.29339270160293,-83.71318627174951
2156,42.29336539810799,-83.71318586108056
2160,42.29333820411076,-83.71318612609774
2200,42.29306908267474,-83.71301870654746
2204A,42.29300415123618,-83.71301881885452
2166,42.29325624583181,-83.7131813678299
2166A,42.29319999130407,-83.71317140128193
2166B,42.29319997202566,-83.71319863673125
2188A,42.2931731809991,-83.71317157610576
2188B,42.29317440090446,-83.71319965115647
